Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2020-04-01,4113,2058,45999,536,5,193,86,327,127,2594,169,6540,106,520
2020-04-02,4977,2089,55950,557,3,415,140,734,295,2646,389,12463,0,1149
2020-04-03,4977,2089,55843,557,5,422,82,798,314,2646,384,12369,0,1220
2020-04-04,4977,2089,56208,557,3,455,54,869,328,2646,1,6541,0,1324
2020-04-05,4977,2089,56548,557,4,488,52,879,340,2646,0,6514,0,1367
2020-04-06,4977,2089,56555,557,2,505,45,906,377,2646,368,12324,0,1411
2020-04-07,5049,2089,56576,557,2,527,53,965,396,2646,391,12312,0,1492
2020-04-08,5063,2741,57319,615,0,554,70,1025,426,3356,548,12449,90,1579
2020-04-09,5063,3581,57260,615,2,544,54,1110,438,4196,1426,23405,417,1654
2020-04-10,5063,3581,57028,615,1,498,52,1218,380,4196,1415,23372,404,1716
2020-04-11,5103,3581,57664,615,0,509,31,1266,367,4196,1033,17551,379,1775
2020-04-12,5103,3581,57536,615,0,519,37,1313,382,4196,1030,17673,380,1832
2020-04-13,5103,3581,57533,615,1,500,52,1411,374,4196,1510,24941,396,1911
2020-04-14,5104,3582,57738,617,3,529,37,1426,377,4199,1510,25359,395,1955
2020-04-15,5372,3879,59426,575,2,522,46,1517,382,4454,1681,26036,508,2039
2020-04-16,6556,3883,59954,575,5,527,41,1547,373,4458,1448,27944,454,2074
2020-04-17,6556,3883,59530,575,1,525,72,1614,365,4458,1388,25589,448,2139
2020-04-18,6552,3891,59337,575,2,515,17,1635,363,4466,1368,25819,386,2150
2020-04-19,6552,3876,59367,575,3,534,24,1737,366,4451,1231,21453,424,2271
2020-04-20,6552,3856,59924,621,3,530,30,1813,364,4477,1466,26873,457,2343
2020-04-21,6552,3856,59952,621,1,524,38,1882,362,4477,1587,28912,480,2406
2020-04-22,6570,3856,59638,582,2,516,27,2044,352,4438,1667,26864,527,2560
2020-04-23,6570,3856,59543,582,3,541,65,2091,379,4438,1612,28750,496,2632
2020-04-24,6567,3855,59611,582,0,525,21,2164,380,4437,1524,26726,446,2689
2020-04-25,6567,3855,59707,582,0,525,30,2183,374,4437,1525,27013,428,2708
2020-04-26,6567,3855,59205,582,0,519,26,2226,372,4437,1325,22060,433,2745
2020-04-27,6567,3855,59219,582,2,520,68,2335,374,4437,1579,27377,478,2855
2020-04-28,6566,3854,59710,582,3,525,33,2374,367,4436,1683,29626,507,2899
2020-04-29,6651,3939,62276,590,1,510,33,2444,355,4529,1750,27989,570,2954
2020-04-30,6651,3939,62278,590,0,502,47,2441,350,4529,1620,29814,491,2943
2020-05-01,6651,3939,61728,590,0,497,37,2481,326,4529,1618,27470,467,2978
2020-05-02,6651,3939,61508,590,1,498,20,2493,345,4529,1633,27408,439,2991
2020-05-03,6651,3939,62140,590,1,491,28,2573,340,4529,1323,21563,424,3064
2020-05-04,6651,3939,62377,590,3,490,16,2611,332,4529,1758,30477,477,3101
2020-05-05,6651,3939,62466,590,1,482,28,2638,339,4529,1689,28723,472,3120
2020-05-06,6648,3936,62564,606,2,489,26,2614,321,4542,1814,29296,547,3103
2020-05-07,6651,3939,62693,659,1,466,18,2621,327,4598,1711,30897,444,3087
2020-05-08,6649,3937,62145,661,1,452,13,2587,308,4598,1618,28617,421,3039
2020-05-09,6649,3937,62506,661,2,440,14,2649,285,4598,1646,28640,391,3089
2020-05-10,6649,3937,62567,661,1,429,14,2660,289,4598,1313,22349,417,3089
2020-05-11,6649,3937,62734,661,0,417,18,2667,284,4598,1966,31322,548,3084
2020-05-12,6649,3937,61953,681,4,420,18,2701,288,4618,1722,29157,462,3121
2020-05-13,6651,3939,62758,679,0,408,20,2628,290,4618,1757,29784,448,3036
2020-05-14,6654,3939,62576,683,2,401,30,2663,280,4622,1968,29931,546,3064
2020-05-15,6654,3939,62386,683,0,395,12,2616,269,4622,1756,29192,445,3011
2020-05-16,6654,3939,62502,683,0,381,12,2621,260,4622,1699,28881,424,3002
2020-05-17,5947,3939,52111,683,0,368,22,2582,248,4622,1357,22394,421,2950
2020-05-18,6654,3939,62232,683,1,374,24,2654,250,4622,1711,29374,436,3028
2020-05-19,6654,3939,62628,683,2,371,20,2405,246,4622,1856,32022,504,2776
2020-05-20,6654,3939,62565,683,6,355,32,2354,235,4622,1995,30564,574,2709
2020-05-21,6642,3939,62541,683,2,346,30,2288,235,4622,1872,32615,466,2634
2020-05-22,6642,3939,61998,683,1,336,26,2231,230,4622,1786,29968,468,2567
2020-05-23,6642,3939,61776,683,0,340,15,2185,215,4622,1823,29662,423,2525
2020-05-24,5947,3939,51545,683,2,340,38,2143,223,4622,1453,23190,403,2483
2020-05-25,6583,3880,62721,758,3,344,19,2180,224,4638,2112,33082,598,2524
2020-05-26,6583,3880,62656,758,0,350,32,2123,229,4638,1844,31360,488,2473
2020-05-27,6583,3880,62757,758,0,332,42,2089,207,4638,1905,31693,496,2421
2020-05-28,6583,3880,62748,758,1,319,15,2004,206,4638,1987,33547,502,2323
2020-05-29,6583,3880,62359,758,3,304,19,1949,187,4638,1868,30938,470,2253
2020-05-30,6583,3880,62778,758,2,304,31,1935,201,4638,1797,31195,440,2239
2020-05-31,6583,3880,62785,758,0,302,37,1942,197,4638,1437,24242,419,2244
2020-06-01,6583,3880,62647,758,1,300,17,1917,186,4638,2163,33635,589,2217
2020-06-02,6583,3880,62792,758,3,301,17,1870,193,4638,1925,32003,497,2171
2020-06-03,6583,3880,62701,758,2,284,37,1804,182,4638,1903,31880,477,2088
2020-06-04,6583,3880,62678,758,2,265,23,1674,179,4638,1913,31993,487,1939
2020-06-05,6583,3880,62801,758,0,261,18,1584,179,4638,1907,31490,501,1845
2020-06-06,6583,3880,62787,758,1,262,13,1541,179,4638,1498,23898,442,1803
2020-06-07,6583,3880,62736,758,1,252,12,1555,163,4638,1478,24199,432,1807
2020-06-08,6433,3730,62891,908,4,249,15,1522,165,4638,2192,34006,595,1771
2020-06-09,6433,3730,61710,908,0,252,13,1420,160,4638,1951,31521,523,1672
2020-06-10,6433,3730,62884,908,0,249,11,1363,156,4638,1971,32527,517,1612
2020-06-11,6433,3730,62879,908,0,237,23,1313,149,4638,2001,34305,528,1550
2020-06-12,6433,3730,62636,908,0,227,6,1220,129,4638,1902,31676,459,1447
2020-06-13,6433,3730,62869,908,0,203,4,1193,135,4638,1867,31636,446,1396
2020-06-14,5738,3730,52344,908,0,199,9,1173,114,4638,1478,24498,462,1372
2020-06-15,6429,3730,63091,908,0,193,11,1120,119,4638,2200,34512,598,1313
2020-06-16,6429,3730,63103,908,0,182,5,1046,111,4638,1978,32971,533,1228
2020-06-17,6429,3730,62662,908,3,166,29,983,104,4638,2027,32818,531,1149
2020-06-18,6429,3730,62357,908,1,159,25,910,107,4638,2095,34406,549,1069
2020-06-19,6429,3730,62989,908,1,158,13,823,107,4638,1985,32588,533,981
2020-06-20,6429,3730,62993,908,1,166,18,794,101,4638,1580,24986,466,960
2020-06-21,6429,3730,62905,908,2,151,5,806,100,4638,1554,25193,458,957
2020-06-22,6429,3730,65699,908,3,145,10,796,94,4638,2341,37033,667,941
2020-06-23,6429,3730,65680,908,1,142,8,781,85,4638,2125,35395,592,923
2020-06-24,6429,3730,65646,908,1,135,36,750,85,4638,2078,35474,597,885
2020-06-25,6429,3730,65616,908,1,127,17,744,79,4638,2160,37467,595,871
2020-06-26,6429,3730,65733,908,1,114,10,714,68,4638,2043,34864,536,828
2020-06-27,6429,3730,65095,908,2,110,17,715,68,4638,1565,25015,453,825
2020-06-28,6429,3730,65334,908,1,107,15,698,65,4638,1604,25547,473,805
2020-06-29,6429,3730,65286,908,1,95,18,688,61,4638,2411,37566,647,783
2020-06-30,6429,3730,65562,908,1,91,23,622,52,4638,2099,35779,572,713
2020-07-01,6429,3730,65450,908,0,87,19,617,45,4638,1567,25752,441,704
2020-07-02,6429,3730,65559,908,0,87,22,591,48,4638,2146,37649,542,678
2020-07-03,6429,3730,65406,908,5,81,17,576,48,4638,2036,35239,530,657
2020-07-04,6429,3730,65488,908,2,79,12,566,46,4638,1924,33299,420,645
2020-07-05,6429,3730,65521,908,0,73,24,572,43,4638,1624,25785,428,645
2020-07-06,6488,3789,65049,849,7,71,25,530,41,4638,2461,38062,627,601
2020-07-07,6488,3789,65456,849,3,73,19,508,43,4638,2225,36596,555,581
2020-07-08,6488,3789,65441,849,5,68,20,476,36,4638,2180,37844,603,544
2020-07-09,6488,3789,65398,849,0,72,18,492,36,4638,2263,38611,595,564
2020-07-10,6488,3789,65370,849,2,67,14,469,29,4638,2130,35989,561,536
2020-07-11,6488,3789,65356,849,2,66,19,478,30,4638,1989,33828,435,544
2020-07-12,6488,3789,65394,849,3,68,21,483,30,4638,1649,26296,419,551
2020-07-13,6488,3789,65445,849,3,71,27,452,34,4638,2416,38729,528,523
2020-07-14,6488,3789,65453,849,2,65,29,446,35,4638,2188,36927,546,511
2020-07-15,6488,3789,65037,849,5,62,28,445,33,4638,2164,36657,574,507
2020-07-16,6488,3789,65056,849,6,67,31,429,32,4638,2257,38703,563,496
2020-07-17,6488,3789,64278,849,10,65,38,427,32,4638,2145,35503,524,492
2020-07-18,6488,3789,65187,849,1,67,29,441,34,4638,1635,26097,451,508
2020-07-19,6488,3789,65438,849,1,71,20,442,35,4638,1619,26408,410,513
2020-07-20,6488,3789,65378,849,7,72,49,455,42,4638,2403,38863,653,527
2020-07-21,6488,3789,65380,849,3,74,50,472,38,4638,2128,36944,549,546
2020-07-22,6488,3789,65397,849,7,73,52,451,41,4638,2156,36956,524,524
2020-07-23,6488,3789,65142,849,8,67,61,398,42,4638,2221,39041,551,465
2020-07-24,6488,3789,65307,849,9,65,55,377,42,4638,2145,36289,554,442
2020-07-25,6488,3789,65288,849,7,63,37,363,43,4638,1606,26219,405,426
2020-07-26,6488,3789,65216,849,4,62,64,376,40,4638,1609,26614,408,438
2020-07-27,6488,3789,65405,849,11,61,63,362,37,4638,2495,38810,652,423
2020-07-28,6488,3789,65345,849,8,62,59,341,37,4638,2191,37054,518,403
2020-07-29,6488,3789,65345,849,13,71,50,344,37,4638,2216,37030,530,415
2020-07-30,6488,3789,66676,849,4,69,70,313,40,4638,2272,38871,548,382
2020-07-31,6488,3789,65332,849,4,71,84,296,37,4638,2055,34347,455,367
2020-08-01,6488,3789,65185,849,3,74,72,290,39,4638,1606,26032,443,364
2020-08-02,6488,3789,65161,849,7,76,54,287,38,4638,1595,26167,433,363
2020-08-03,6488,3789,64898,849,14,84,58,263,40,4638,1725,28486,451,347
2020-08-04,6488,3789,65017,849,1,84,76,263,44,4638,2383,36736,632,347
